numfven,codprod,codcon,nomdet,serdet,venfec,valuni,candet,ivapor,ivapes,totdet,numite,cosprod,tipsub,dctpor,coskar,undfra
27766,10881, ,manila soga matiz lhaura 6mm *500mt carrete, ,2022-05-01,900.0,8.0,0.0,0.0,7200.0,1,621.42,U,0.0,651.14,1
27767,10326, ,guante nitrilo pepitas, ,2022-05-01,3000.0,1.0,0.0,0.0,3000.0,1,1150.0,U,0.0,1310.17,1
27768,11634, ,vinilo tipo 2 vinilux blanco galon ico, ,2022-05-01,40000.0,1.0,0.0,0.0,40000.0,1,34313.58,U,0.0,34313.58,1
27769,10757, ,boxer africano media, ,2022-05-01,6500.0,1.0,0.0,0.0,6500.0,1,5500.0,U,0.0,5240.74,1
27770,2193, ,cincel pala forte con proteccion 3/4 *10 pulg, ,2022-05-01,15000.0,1.0,0.0,0.0,15000.0,1,12906.74,U,0.0,12906.74,1
27770,1560, ,martillo herragro 27mm mango acero, ,2022-05-01,25000.0,1.0,0.0,0.0,25000.0,2,20571.05,U,0.0,20571.05,1
27771,1050, ,tapon de prueba 4pulgadas, ,2022-05-01,2500.0,2.0,0.0,0.0,5000.0,1,1400.0,U,0.0,1359.08,1
27772,1055, ,cinta nitto *10u colores, ,2022-05-01,3000.0,1.0,0.0,0.0,3000.0,1,2500.0,U,0.0,2464.3,1
27773,10443, ,clavo madera 1 1/2, ,2022-05-01,3900.0,1.0,0.0,0.0,3900.0,1,3281.88,U,0.0,3312.02,1
27773,10261, ,soldadura varilla metal asweldiing 6011 3/32, ,2022-05-01,17000.0,0.5,0.0,0.0,8500.0,2,14187.85,U,0.0,8529.53,1
27774,11172, ,regulador gas humcar r-20 gris, ,2022-05-01,18000.0,1.0,0.0,0.0,18000.0,1,15000.0,U,0.0,15000.0,1
27774,10284, ,racor gas hembra ud, ,2022-05-01,2500.0,1.0,0.0,0.0,2500.0,2,1800.0,U,0.0,1503.97,1
27775,1344, ,panel led sobreponer todos 24w, ,2022-05-01,28000.0,1.0,0.0,0.0,28000.0,1,22600.0,U,0.0,21900.0,1
27776,10730, ,aerosol negro brillante 39 pinpinov 400ml, ,2022-05-01,7500.0,1.0,0.0,0.0,7500.0,1,5800.0,U,0.0,5748.36,1
27777,10474, ,tela cerramiento blanca rrollo 210*100 mts, ,2022-05-01,2900.0,30.0,0.0,0.0,87000.0,1,2338.04,U,0.0,2335.69,1
27778,10470, ,segueta herragro bimetalica 18 dientes, ,2022-05-01,4500.0,1.0,0.0,0.0,4500.0,1,3501.46,U,0.0,3501.46,1
27778,11613, ,limpiador pvc 1/128 mc, ,2022-05-01,2000.0,1.0,0.0,0.0,2000.0,2,1499.4,U,0.0,1499.4,1
27778,10383, ,tee presion 1/2 gerfor, ,2022-05-01,700.0,1.0,0.0,0.0,700.0,3,619.75,U,0.0,624.86,1
27778,10379, ,adaptador hembra presion 1/2 gerfor, ,2022-05-01,500.0,1.0,0.0,0.0,500.0,4,338.9,U,0.0,333.0,1
27778,10380, ,adaptador macho gerfor 1/2, ,2022-05-01,500.0,1.0,0.0,0.0,500.0,5,400.0,U,0.0,359.24,1
27778,10594, ,codo presion 1/2pulg gerfor, ,2022-05-01,600.0,1.0,0.0,0.0,600.0,6,468.38,U,0.0,467.86,1
27778,10384, ,union presion 1/2 gerfor, ,2022-05-01,500.0,1.0,0.0,0.0,500.0,7,295.14,U,0.0,299.8,1
27778,11345, ,cinta teflon eco, ,2022-05-01,700.0,1.0,0.0,0.0,700.0,8,450.0,U,0.0,450.0,1
27779,10699, ,cemento san marcos-argos-cemex bto 50kg, ,2022-05-01,1000.0,2.0,0.0,0.0,2000.0,1,590.0,U,0.0,584.41,1
27779,10435, ,tubo pvc presion gerfor-indexcol 1/2 *6mt, ,2022-05-01,2500.0,1.0,0.0,0.0,2500.0,2,1750.0,U,0.0,1859.75,1
27779,11613, ,limpiador pvc 1/128 mc, ,2022-05-01,2000.0,1.0,0.0,0.0,2000.0,3,1499.4,U,0.0,1499.4,1
27779,10670, ,suprasold pvc 1/ 1/128 gerfor, ,2022-05-01,4800.0,1.0,0.0,0.0,4800.0,4,3857.98,U,0.0,3850.41,1
27779,10594, ,codo presion 1/2pulg gerfor, ,2022-05-01,600.0,4.0,0.0,0.0,2400.0,5,468.38,U,0.0,467.86,1
27780,11828, ,tapon de prueba 3pulg, ,2022-05-01,1800.0,2.0,0.0,0.0,3600.0,1,823.48,U,0.0,899.02,1
27780,10939, ,yeso escayola bto *25 kilos, ,2022-05-01,1800.0,2.0,0.0,0.0,3600.0,2,1280.0,U,0.0,1309.09,1
27781,1464, ,escobilla pulidora black decker nueva par, ,2022-05-01,10000.0,1.0,0.0,0.0,10000.0,1,5000.0,U,0.0,0.0,1
27782,10391, ,sika 101 mortero plus gris 2kg polvo, ,2022-05-01,18500.0,1.0,0.0,0.0,18500.0,1,15173.31,U,0.0,15173.31,1
27782,10586, ,pega enchape sika *25kg, ,2022-05-01,25000.0,1.0,0.0,0.0,25000.0,2,21185.16,U,0.0,21086.08,1
27782,10450, ,estuco listo *25 k impadoc, ,2022-05-01,1800.0,3.0,0.0,0.0,5400.0,3,1080.0,U,0.0,195.5,1
27782,10481, ,fragua continental blanca, ,2022-05-01,8000.0,0.5,0.0,0.0,4000.0,4,4600.0,U,0.0,4600.0,1
27782,10233, ,lija omega #150 octavo, ,2022-05-01,1400.0,2.0,0.0,0.0,2800.0,5,894.88,U,0.0,976.56,1
27782,11122, ,tiner botella, ,2022-05-01,5800.0,1.0,0.0,0.0,5800.0,6,3773.59,U,0.0,3755.8,1
27783,10701, ,ducha kontiki k-102, ,2022-05-01,65000.0,1.0,0.0,0.0,65000.0,1,59024.0,U,0.0,56322.7,1
27783,11345, ,cinta teflon eco, ,2022-05-01,700.0,1.0,0.0,0.0,700.0,2,450.0,U,0.0,450.0,1
